P,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc,A_mass,B_mass,X_mass
0,1.8347,-15780.94093,-15780.94097,12.204446,8.111539,3.237995,3.259452,3.245837,9.064936,12.700443,8.736607,1005.834292,2.5018,2.093288,1.174954,1.181559,1.177373,2.204414,2.541637,2.167522,132.905,207.2,126.904
1,1.8334,-15780.87768,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
2,1.8334,-15780.81492,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
3,1.8334,-15780.75216,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
4,1.8334,-15780.68939,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
5,1.8334,-15780.62663,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
6,1.8331,-15780.56469,-15780.94093,12.204183,8.118669,3.236855,3.258218,3.245229,9.062716,12.695618,8.73348,1004.846088,2.501779,2.094166,1.174602,1.18118,1.177186,2.204169,2.541257,2.167164,132.905,207.2,126.904
7,1.8323,-15780.50257,-15780.9411,12.203556,8.133523,3.235886,3.257082,3.245251,9.061887,12.691078,8.73064,1004.068272,2.501727,2.095994,1.174303,1.180832,1.177193,2.204077,2.540899,2.166839,132.905,207.2,126.904
8,1.831,-15780.44039,-15780.94106,12.20327,8.144707,3.234851,3.255912,3.244995,9.060436,12.686461,8.72771,1003.205493,2.501704,2.097368,1.173983,1.180472,1.177114,2.203917,2.540535,2.166503,132.905,207.2,126.904
9,1.8302,-15780.37786,-15780.94087,12.203345,8.144856,3.234405,3.255455,3.244604,9.059258,12.684708,8.726547,1002.802781,2.50171,2.097387,1.173845,1.180332,1.176993,2.203787,2.540397,2.16637,132.905,207.2,126.904
10,1.8294,-15780.31536,-15780.94065,12.203643,8.145482,3.233967,3.255015,3.24414,9.05801,12.682954,8.725286,1002.381144,2.501735,2.097463,1.17371,1.180197,1.17685,2.203649,2.540259,2.166225,132.905,207.2,126.904
11,1.8242,-15780.1917,-15780.9393,12.204059,8.182939,3.230217,3.25088,3.242543,9.051724,12.666354,8.714205,999.10401,2.501769,2.102051,1.172549,1.178926,1.176358,2.202955,2.538949,2.164954,132.905,207.2,126.904
12,1.8242,-15780.1917,-15780.9393,12.204059,8.182939,3.230217,3.25088,3.242543,9.051724,12.666354,8.714205,999.10401,2.501769,2.102051,1.172549,1.178926,1.176358,2.202955,2.538949,2.164954,132.905,207.2,126.904
13,1.8228,-15780.12937,-15780.93872,12.204546,8.183592,3.2295,3.250154,3.241843,9.049745,12.663507,8.712225,998.434147,2.501809,2.102131,1.172327,1.178702,1.176142,2.202737,2.538724,2.164727,132.905,207.2,126.904
14,1.8214,-15780.06708,-15780.93809,12.205182,8.184316,3.228784,3.249426,3.241144,9.047753,12.660661,8.710242,997.762896,2.501861,2.10222,1.172105,1.178478,1.175926,2.202516,2.5385,2.1645,132.905,207.2,126.904
15,1.8224,-15780.00834,-15780.93769,12.236686,8.4677,3.227051,3.246561,3.242866,9.056343,12.638609,8.68385,993.949834,2.504439,2.136259,1.171569,1.177596,1.176458,2.203465,2.536756,2.161465,132.905,207.2,126.904
16,1.822,-15779.94632,-15780.9368,12.248549,8.500086,3.226558,3.245912,3.242609,9.055797,12.634887,8.679696,993.121928,2.505407,2.140076,1.171416,1.177396,1.176378,2.203405,2.536462,2.160987,132.905,207.2,126.904
17,1.8214,-15779.88427,-15780.93593,12.258966,8.516456,3.226047,3.245294,3.242182,9.054445,12.63197,8.676816,992.415035,2.506258,2.142,1.171258,1.177206,1.176247,2.203256,2.536231,2.160655,132.905,207.2,126.904
18,1.8214,-15779.82232,-15780.93509,12.271424,8.544427,3.225704,3.244829,3.241929,9.053893,12.629059,8.673357,991.730211,2.507273,2.145279,1.171151,1.177063,1.176168,2.203195,2.536,2.160256,132.905,207.2,126.904
19,1.8299,-15779.76134,-15780.93991,12.276875,8.633618,3.231361,3.250001,3.244026,9.064839,12.645738,8.678,994.772821,2.507717,2.155664,1.172903,1.178655,1.176815,2.204403,2.53732,2.160791,132.905,207.2,126.904
20,1.8291,-15779.69937,-15780.93918,12.287929,8.634978,3.230762,3.249343,3.243514,9.062752,12.643318,8.676151,994.14152,2.508617,2.155821,1.172718,1.178453,1.176657,2.204173,2.537129,2.160578,132.905,207.2,126.904
21,1.8283,-15779.63745,-15780.93832,12.299048,8.637992,3.230055,3.248595,3.243001,9.06065,12.640394,8.673973,993.431753,2.509522,2.15617,1.172499,1.178223,1.176499,2.203941,2.536898,2.160327,132.905,207.2,126.904
22,1.8279,-15779.57565,-15780.93786,12.307053,8.644619,3.229828,3.248283,3.242473,9.059074,12.63908,8.672474,992.984015,2.510173,2.156937,1.172429,1.178127,1.176336,2.203767,2.536794,2.160154,132.905,207.2,126.904
23,1.8277,-15779.51393,-15780.93752,12.314157,8.653596,3.22976,3.248096,3.241908,9.057602,12.638222,8.671068,992.59433,2.51075,2.157975,1.172408,1.178069,1.176162,2.203604,2.536726,2.159992,132.905,207.2,126.904
24,1.8269,-15779.4521,-15780.93658,12.32554,8.656417,3.229074,3.247377,3.241441,9.055673,12.635405,8.668915,991.915372,2.511674,2.158301,1.172195,1.177847,1.176018,2.203391,2.536503,2.159744,132.905,207.2,126.904
25,1.8262,-15779.39026,-15780.93549,12.338622,8.658691,3.228296,3.246584,3.241089,9.053842,12.632286,8.666682,991.21463,2.512734,2.158564,1.171955,1.177603,1.17591,2.203189,2.536256,2.159486,132.905,207.2,126.904
26,1.8293,-15779.33355,-15780.93018,12.306288,9.271962,3.232385,3.247476,3.235557,9.053583,12.609042,8.62921,985.084731,2.51011,2.226995,1.17322,1.177878,1.174201,2.203161,2.534414,2.155153,132.905,207.2,126.904
27,1.8291,-15779.27194,-15780.92932,12.327163,9.268952,3.23225,3.247285,3.234867,9.051651,12.608731,8.62753,984.658559,2.511805,2.22667,1.173179,1.177819,1.173988,2.202947,2.53439,2.154958,132.905,207.2,126.904
