Structure #,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,Length4,Length5,Length6,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc
a-0.0300-b-0.0300,1.782600,-15780.829260,-15780.829260,14.490245,7.059376,3.315981,3.263392,3.236621,3.315969,3.263391,3.236623,9.334540,13.081474,8.234600,1005.523249,2.673476,1.954357,1.198754,1.182767,1.174530,2.233722,2.571197,2.108345
a-0.0300-b-0.0250,1.766600,-15780.844210,-15780.844210,13.252859,6.704324,3.296540,3.257843,3.228608,3.296527,3.257841,3.228610,9.334540,13.017971,8.274800,1005.527043,2.584213,1.902753,1.192873,1.181065,1.172051,2.233722,2.566331,2.113215
a-0.0300-b-0.0200,1.784600,-15780.867308,-15780.867308,13.086948,6.928913,3.283425,3.260998,3.233242,3.283412,3.260996,3.233244,9.334540,12.954469,8.315300,1005.519456,2.571615,1.935703,1.188887,1.182033,1.173485,2.233722,2.561441,2.118097
a-0.0300-b-0.0150,1.804600,-15780.886482,-15780.886482,12.923235,7.171285,3.270637,3.264684,3.237789,3.270624,3.264682,3.237791,9.334540,12.890967,8.356300,1005.524020,2.559027,1.970085,1.184985,1.183163,1.174891,2.233722,2.556527,2.123016
a-0.0300-b-0.0100,1.818400,-15780.901806,-15780.901806,12.765961,7.451463,3.258459,3.269039,3.242144,3.258446,3.269037,3.242146,9.334540,12.827464,8.397700,1005.527873,2.546782,2.008410,1.181254,1.184496,1.176235,2.233722,2.551589,2.127958
a-0.0300-b-0.0050,1.802400,-15780.913043,-15780.913043,12.607854,7.770255,3.246994,3.274350,3.246122,3.246982,3.274348,3.246124,9.334540,12.763962,8.439500,1005.530303,2.534320,2.050303,1.177730,1.186119,1.177461,2.233722,2.546626,2.132923
a-0.0300-b0.0000,1.789100,-15780.920154,-15780.920154,12.430179,8.098665,3.235966,3.278843,3.251455,3.235954,3.278841,3.251457,9.334540,12.700460,8.481700,1005.530600,2.520127,2.091699,1.174328,1.187491,1.179103,2.233722,2.541638,2.137911
a-0.0300-b0.0050,1.775900,-15780.923504,-15780.923504,12.215310,8.531780,3.226838,3.284714,3.255536,3.226826,3.284712,3.255538,9.334540,12.636957,8.524300,1005.528051,2.502690,2.143798,1.171503,1.189280,1.180357,2.233722,2.536626,2.142921
a-0.0300-b0.0100,1.767100,-15780.922887,-15780.922887,11.938030,8.965876,3.218325,3.287041,3.262527,3.218312,3.287039,3.262529,9.334540,12.573455,8.567300,1005.521945,2.479729,2.193426,1.168861,1.189988,1.182502,2.233722,2.531588,2.147953
a-0.0300-b0.0150,1.765900,-15780.918063,-15780.918063,11.575973,9.521516,3.212504,3.283642,3.273526,3.212492,3.283640,3.273528,9.334540,12.509953,8.610800,1005.523249,2.448932,2.253554,1.167051,1.188953,1.185868,2.233722,2.526525,2.153017
a-0.0300-b0.0200,1.755200,-15780.910000,-15780.910000,11.238945,10.146005,3.207969,3.291321,3.273852,3.207957,3.291319,3.273854,9.334540,12.446451,8.654700,1005.519456,2.419385,2.317080,1.165638,1.191289,1.185967,2.233722,2.521435,2.158103
a-0.0300-b0.0250,1.753700,-15780.896042,-15780.896042,10.898827,10.768268,3.204143,3.293984,3.279289,3.204131,3.293982,3.279291,9.334540,12.382948,8.699100,1005.521412,2.388655,2.376604,1.164445,1.192098,1.187627,2.233722,2.516320,2.163220
a-0.0300-b0.0300,1.738900,-15780.878566,-15780.878566,10.752695,11.020163,3.193001,3.306914,3.279008,3.192989,3.306913,3.279010,9.334540,12.319446,8.744000,1005.528229,2.375156,2.399727,1.160961,1.196016,1.187541,2.233722,2.511179,2.168368
a-0.0250-b-0.0300,1.775300,-15780.840427,-15780.840428,14.425769,7.048069,3.316011,3.258314,3.235812,3.315998,3.258312,3.235814,9.289227,13.081474,8.274800,1005.527043,2.669016,1.952754,1.198763,1.181210,1.174280,2.228855,2.571197,2.113215
a-0.0250-b-0.0250,1.762200,-15780.855566,-15780.855566,13.209765,6.743828,3.297157,3.252770,3.229267,3.297144,3.252768,3.229269,9.289227,13.017971,8.315200,1005.531290,2.580956,1.908628,1.193060,1.179507,1.172255,2.228855,2.566331,2.118085
a-0.0250-b-0.0200,1.780500,-15780.878317,-15780.878317,13.043859,6.976557,3.284170,3.256291,3.233586,3.284158,3.256289,3.233588,9.289227,12.954469,8.355900,1005.523975,2.568317,1.942556,1.189114,1.180589,1.173592,2.228855,2.561441,2.122968
a-0.0250-b-0.0150,1.800700,-15780.897065,-15780.897065,12.879852,7.212132,3.271339,3.259782,3.238530,3.271326,3.259780,3.238532,9.289227,12.890967,8.397100,1005.528518,2.555664,1.975765,1.185199,1.181660,1.175119,2.228855,2.556527,2.127886
a-0.0250-b-0.0100,1.823400,-15780.911917,-15780.911917,12.713974,7.492400,3.259200,3.264554,3.242312,3.259188,3.264552,3.242314,9.289227,12.827464,8.438700,1005.532116,2.542702,2.013889,1.181482,1.183123,1.176287,2.228855,2.551589,2.132828
a-0.0250-b-0.0050,1.812700,-15780.922622,-15780.922622,12.553542,7.786592,3.247457,3.269559,3.246779,3.247445,3.269557,3.246781,9.289227,12.763962,8.480600,1005.522206,2.530003,2.052403,1.177872,1.184655,1.177664,2.228855,2.546626,2.137781
a-0.0250-b0.0000,1.798300,-15780.929688,-15780.929688,12.372409,8.180030,3.237381,3.275360,3.250860,3.237368,3.275358,3.250862,9.289227,12.700460,8.523100,1005.533650,2.515469,2.101696,1.174765,1.186428,1.178920,2.228855,2.541638,2.142780
a-0.0250-b0.0050,1.793300,-15780.925306,-15780.925306,12.170210,8.222685,3.221667,3.263839,3.267395,3.221654,3.263837,3.267397,9.289227,12.636957,8.565900,1005.530169,2.498991,2.106897,1.169899,1.182904,1.183993,2.228855,2.536626,2.147789
a-0.0250-b0.0100,1.785900,-15780.931471,-15780.931471,11.807475,9.093600,3.220987,3.276557,3.268695,3.220975,3.276555,3.268697,9.289227,12.573455,8.609100,1005.522914,2.468733,2.207571,1.169688,1.186793,1.184391,2.228855,2.531588,2.152820
a-0.0250-b0.0150,1.777100,-15780.927261,-15780.927261,11.414652,9.775056,3.217214,3.280198,3.271998,3.217202,3.280196,3.272000,9.289227,12.509953,8.652800,1005.522796,2.434898,2.279834,1.168516,1.187904,1.185401,2.228855,2.526525,2.157883
a-0.0250-b0.0200,1.771200,-15780.917470,-15780.917470,11.068827,10.376931,3.212536,3.283440,3.276121,3.212524,3.283438,3.276123,9.289227,12.446451,8.697000,1005.528931,2.404133,2.339585,1.167061,1.188892,1.186660,2.228855,2.521435,2.162978
a-0.0250-b0.0250,1.756100,-15780.903163,-15780.903163,10.845504,10.757988,3.203910,3.295847,3.274041,3.203898,3.295845,3.274043,9.289227,12.382948,8.741600,1005.528931,2.383751,2.375649,1.164372,1.192663,1.186025,2.228855,2.516320,2.168093
a-0.0250-b0.0300,1.745900,-15780.884115,-15780.884115,10.631506,11.110224,3.195128,3.305601,3.275622,3.195117,3.305599,3.275624,9.289227,12.319446,8.786700,1005.533532,2.363822,2.407866,1.161627,1.195618,1.186508,2.228855,2.511179,2.173239
a-0.0200-b-0.0300,1.741200,-15780.838720,-15780.838720,13.342314,6.578824,3.311163,3.244670,3.225694,3.311150,3.244668,3.225696,9.243914,13.081474,8.315400,1005.531548,2.590940,1.883856,1.197299,1.177014,1.171148,2.223965,2.571197,2.118109
a-0.0200-b-0.0250,1.758500,-15780.864859,-15780.864858,13.179771,6.788850,3.297846,3.247166,3.231067,3.297833,3.247164,3.231069,9.243914,13.017971,8.356000,1005.536009,2.578683,1.915282,1.193270,1.177783,1.172813,2.223965,2.566331,2.122980
a-0.0200-b-0.0200,1.777000,-15780.887195,-15780.887195,13.011016,7.020004,3.284880,3.250333,3.235828,3.284867,3.250331,3.235830,9.243914,12.954469,8.396900,1005.528730,2.565796,1.948764,1.189330,1.178757,1.174285,2.223965,2.561441,2.127863
a-0.0200-b-0.0150,1.797400,-15780.905582,-15780.905582,12.840815,7.265125,3.272203,3.253917,3.240534,3.272190,3.253915,3.240536,9.243914,12.890967,8.438300,1005.533015,2.552629,1.983086,1.185463,1.179859,1.175738,2.223965,2.556527,2.132781
a-0.0200-b-0.0100,1.820200,-15780.919846,-15780.919846,12.676956,7.519051,3.259776,3.257792,3.245607,3.259763,3.257790,3.245609,9.243914,12.827464,8.480000,1005.524269,2.539786,2.017440,1.181658,1.181050,1.177302,2.223965,2.551589,2.137710
a-0.0200-b-0.0050,1.824100,-15780.930319,-15780.930319,12.511925,7.830277,3.248302,3.265021,3.247812,3.248290,3.265019,3.247814,9.243914,12.763962,8.522200,1005.525560,2.526682,2.057998,1.178133,1.183266,1.177981,2.223965,2.546626,2.142675
a-0.0200-b0.0000,1.813600,-15780.931703,-15780.931703,12.251751,8.051089,3.235291,3.256880,3.259457,3.235278,3.256878,3.259459,9.243914,12.700460,8.564900,1005.536009,2.505669,2.085807,1.174119,1.180770,1.181561,2.223965,2.541638,2.147672
