Index,Total_energy(eV),Total_force(eV/Ang)
seg1_iter1_img1,-5581238.421896325,7.196928038347775
seg1_iter1_img2,-5581232.754835725,24.520191055015133
seg1_iter1_img3,-5581190.9072221,261.0360874665275
seg1_iter1_img4,-5581227.738991105,45.32729661128021
seg1_iter1_img5,-5581235.288404443,4.16975984288351
seg1_iter2_img1,-5581238.351167445,7.410138512424146
seg1_iter2_img2,-5581233.293167642,21.574889582616425
seg1_iter2_img3,-5581207.381249672,159.01568643643222
seg1_iter2_img4,-5581227.983029447,44.575855678494364
seg1_iter2_img5,-5581235.30761278,4.618800488208928
seg1_iter3_img1,-5581238.222440192,7.775677214454222
seg1_iter3_img2,-5581234.037643886,17.536965594557532
seg1_iter3_img3,-5581215.830524797,107.41295053703584
seg1_iter3_img4,-5581228.273918846,43.29120258704738
seg1_iter3_img5,-5581235.293853752,5.260671395570216
seg1_iter4_img1,-5581238.090263501,8.067131133749486
seg1_iter4_img2,-5581234.671679458,14.062848469393046
seg1_iter4_img3,-5581220.604203738,77.66533258019058
seg1_iter4_img4,-5581228.620935277,41.418744609894745
seg1_iter4_img5,-5581235.238369475,6.141861549650672
seg1_iter5_img1,-5581237.971771229,8.232985515903959
seg1_iter5_img2,-5581235.070893642,11.728645806458479
seg1_iter5_img3,-5581223.503680144,58.65991664890774
seg1_iter5_img4,-5581229.033416944,38.89055370798723
seg1_iter5_img5,-5581235.129181252,7.330172455288259
seg1_iter6_img1,-5581237.887032255,8.209010196144273
seg1_iter6_img2,-5581235.228705569,10.500906870809002
seg1_iter6_img3,-5581225.344370938,45.64713801947164
seg1_iter6_img4,-5581229.523672394,35.64259302625777
seg1_iter6_img5,-5581234.950042324,8.923490282705947
seg1_iter7_img1,-5581237.882612506,7.946183717059579
seg1_iter7_img2,-5581235.174426739,10.292114601599025
seg1_iter7_img3,-5581226.529035948,36.34884432226074
seg1_iter7_img4,-5581230.113477204,31.58746760210026
seg1_iter7_img5,-5581234.678964818,11.076270718629713
seg1_iter8_img1,-5581237.958243004,7.480098886367681
seg1_iter8_img2,-5581235.022567398,10.652348938189732
seg1_iter8_img3,-5581227.279414897,29.860832012773066
seg1_iter8_img4,-5581230.848240594,26.568021636112356
seg1_iter8_img5,-5581234.286555633,14.019345535885058
seg1_iter9_img1,-5581238.108442897,6.810163270669876
seg1_iter9_img2,-5581234.830314483,11.188357964746348
seg1_iter9_img3,-5581227.735428412,27.439203274761216
seg1_iter9_img4,-5581231.826844045,20.530875048105788
seg1_iter9_img5,-5581233.733958439,18.04030815637478
seg1_iter10_img1,-5581238.293269525,6.05339324215754
seg1_iter10_img2,-5581234.629613463,11.733578963119552
seg1_iter10_img3,-5581227.99222568,26.229688716173495
seg1_iter10_img4,-5581232.727979243,16.447751665141844
seg1_iter10_img5,-5581233.095349555,22.622911233785032
seg1_iter11_img1,-5581238.441716641,5.385314007458564
seg1_iter11_img2,-5581234.453614276,12.151439116532119
seg1_iter11_img3,-5581228.115628787,25.48493610643932
seg1_iter11_img4,-5581233.306402184,14.505800163367294
seg1_iter11_img5,-5581232.41914429,27.446433098572683
seg1_iter12_img1,-5581238.487223451,4.92803983587578
seg1_iter12_img2,-5581234.355144507,12.26820990486198
seg1_iter12_img3,-5581228.161997609,25.17329331203308
seg1_iter12_img4,-5581233.756272114,13.116373237644789
seg1_iter12_img5,-5581231.743015215,32.16881182908109
seg1_iter13_img1,-5581238.425265052,4.800358772286452
seg1_iter13_img2,-5581234.422870428,11.85089542716214
seg1_iter13_img3,-5581228.17921517,25.33836566368604
seg1_iter13_img4,-5581234.135109131,11.979286720868412
seg1_iter13_img5,-5581231.083658014,36.62769231020253
seg1_iter14_img1,-5581238.338523637,4.888844384723016
seg1_iter14_img2,-5581234.706397659,10.861845268550985
seg1_iter14_img3,-5581228.203050896,25.774572056215685
seg1_iter14_img4,-5581234.457713159,11.052469824660236
seg1_iter14_img5,-5581230.443903046,40.78948985922708
seg1_iter15_img1,-5581238.262386625,5.01031180157863
seg1_iter15_img2,-5581235.043833764,9.845085112923375
seg1_iter15_img3,-5581228.2570302,26.05761805720324
seg1_iter15_img4,-5581234.727773411,10.254593302178135
seg1_iter15_img5,-5581229.817516679,44.68359439108044
seg1_iter16_img1,-5581238.292667026,5.030989624211437
seg1_iter16_img2,-5581235.253729424,9.069764704871483
seg1_iter16_img3,-5581228.353904104,26.07386152162589
seg1_iter16_img4,-5581234.946054644,9.541190574833633
seg1_iter16_img5,-5581229.19271363,48.36479183493929
seg1_iter17_img1,-5581238.470057664,4.894972650625569
seg1_iter17_img2,-5581235.301541495,8.528548667707348
seg1_iter17_img3,-5581228.497020998,25.84886224886173
seg1_iter17_img4,-5581235.112799918,9.030301791329014
seg1_iter17_img5,-5581228.556549295,51.931768163355024
seg1_iter18_img1,-5581238.609605106,4.8236319971749335
seg1_iter18_img2,-5581235.365581435,7.996037820128829
seg1_iter18_img3,-5581228.682850217,25.432662547522348
seg1_iter18_img4,-5581235.228742245,8.98375848090407
seg1_iter18_img5,-5581227.898382729,55.47096847362725
seg1_iter19_img1,-5581238.560268913,4.700494566059274
seg1_iter19_img2,-5581235.601932691,7.430196148927195
seg1_iter19_img3,-5581228.906182618,24.85646947915023
seg1_iter19_img4,-5581235.295408628,9.679508943175813
seg1_iter19_img5,-5581227.21148281,58.98987684852103
seg1_iter20_img1,-5581238.492765221,4.519532756474875
seg1_iter20_img2,-5581235.766172746,7.016158121544684
seg1_iter20_img3,-5581229.166555771,24.132546655975112
seg1_iter20_img4,-5581235.315423433,10.57626039049212
seg1_iter20_img5,-5581226.49308797,62.484638572645935
seg1_iter21_img1,-5581238.440348958,4.151922517995793
seg1_iter21_img2,-5581235.678865082,7.107288042766538
